ARIAL SDF	Fonts & Materials/ARIAL SDF		
Challenges/DLC_1/GhostInvulnerable_NotificationMessage	We can't figure it out, but our ghost capture equipment doesn't work on this old-boy. We'll just have to hope that he doesn't cause too much trouble.		
Challenges/DLC_1/GhostStorm_AdvisorMessage	Supernatural Warning: A band of ghosts are haunting the hospital.		
Challenges/DLC_1/GhostStorm_Name	Ghost Storm		
Challenges/DLC_1/GhostStorm_NotificationMessage	Local mediums have forecast an upsurge in hauntings in the area. The souls are supposed to range from 'Troubled' to 'Mildly Bothered'. We should look out for more ghosts in the hospital.		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Advisor_Intro	The owner of the Underlook Hotel has sent us our latest target.		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Advisor_Outro_Failure_V1	We failed to complete a target set by the owner of the Underlook Hotel.		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Advisor_Outro_Success_V1	We've been given <style="AdvisorHighlight">{[REWARDS]}</style> by the Underlook Hotel, for achieving a target.		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Intro	We've been set a target by the hotel, if we're able to achieve it we'll receive some funding.		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Intro_Title	News from Hotel Management		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Name	Hotel Target		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Outro_Failure_V1	Failed Target		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Outro_Success_V1	Achieved Target		
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Outro_Title	Message from Underlook Hotel		
Challenges/DLC_1/Patients_BardFlu_Arrival_Advisor	Bard Flu patients are arriving…		
Challenges/DLC_1/Patients_BardFlu_Intro_Message	There’s been an outbreak of Bard Flu in the area after Two Point TV commissioned a heavy handed reimagining of an old play that led to dangerous levels of the ‘pretending to know anything about old plays’ phenomenon. Their families are sick of them mispronouncing the characters’ names and are sending them for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_BardFlu_Intro_Message_V2	There’s been an outbreak of Bard Flu in the area after parents helped their children study for exams this season and became more invested in old theatrics than they thought they would. The exams are over now so their families are sending them for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_BardFlu_Intro_Message_V3	There’s been an outbreak of Bard Flu after some blips in the local quality of life led to overly dramatic longing for better, older times with funny trousers, banquets and filthy, filthy water. Their families are sending them for treatment, partly to remind them that there didn’t use to be hospitals.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_BardFlu_Intro_Title	Bard Flu Emergency		
Challenges/DLC_1/Patients_BardFlu_Name	Bard Flu Patients		
Challenges/DLC_1/Patients_BarkingMad_Arrival_Advisor	Barking Mad patients are arriving…		
Challenges/DLC_1/Patients_BarkingMad_Intro_Message	There’s been an outbreak of Barking Mad in the area after the emergency food carried by rescue dogs, in the mountains, was accidentally restocked with dog food. There’s group of rescued people who were appalled, then pleasantly surprised, looking for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_BarkingMad_Intro_Message_V2	There’s been an outbreak of Barking Mad in the area after the “Sleep Easy” playlist on Bungle Music mistakenly added “Who’s a good boy? You’re a good boy”, a popular canine training guide, voiced by Roderick Cushion. There are a group of indoctrinated, but well-trained, dog-people looking for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_BarkingMad_Intro_Message_V3	There’s been an outbreak of Barking Mad in the area after some of the local population responded to a cutlery shortage by eating with their faces, and found that they liked it. There’s a group, in need of a napkin, looking for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_BarkingMad_Intro_Title	Barking Mad Emergency		
Challenges/DLC_1/Patients_BarkingMad_Name	Barking Mad Patients		
Challenges/DLC_1/Patients_Frankenstein_Arrival_Advisor	Monster Mishmash patients are arriving…		
Challenges/DLC_1/Patients_Frankenstein_Intro_Message	There’s been an outbreak of Monster Mishmash in the area after a costume party led people to question why they wear what they usually wear and, eventually, why they do anything they do at all. There’s a group of party goers, suffering from identity crises, looking for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_Frankenstein_Intro_Message_V2	There’s been an outbreak of Monster Mishmash in the area after viewers at a test-screening of an upcoming and provocative horror film felt an uncomfortable amount of empathy with its hideous creature. There’s a group of entertained people, quietly questioning everything, looking for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_Frankenstein_Intro_Message_V3	There’s been an outbreak of Monster Mishmash in the area after some local gargoyles became angry and cursed the community. It’s possible that 'cursed by gargoyle' isn’t the cause, but that’s what people are saying. There’s a group, paranoid about gargoyles, looking for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_Frankenstein_Intro_Title	Monster Mishmash Emergency		
Challenges/DLC_1/Patients_Frankenstein_Name	Monster Mishmash Patients		
Challenges/DLC_1/Patients_Knightmare_Arrival_Advisor	Knightmares patients are arriving…		
Challenges/DLC_1/Patients_Knightmare_Intro_Message	There’s been an outbreak of Knightmares in the area after a group of “Cellars and Goblins” enthusiasts became irritable after a 96 hour play-through and refused to resurface or take their costumes off. Their families are sick of this happening and are sending them for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_Knightmare_Intro_Message_V2	There’s been an outbreak of Knightmares in the area after the teachers in the history department of a local school were demonstrating medieval equipment and found that everything seemed better in a suit of armour. Their families want them to pull their heads out of the steel-plated sand, and are sending them for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_Knightmare_Intro_Message_V3	There’s been an outbreak of Knightmares in the area after Jasmine Odyssey performed her single “The Ramparts of Love” and set about a wave of copycat clothing. There’s a group of superfans that feel they’ve become closer to her, and their families are sending them for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_Knightmare_Intro_Title	Knightmares Emergency		
Challenges/DLC_1/Patients_Knightmare_Name	Knightmares Patients		
Challenges/DLC_1/Patients_RobotZilla_Intro_Message_V2	There’s been an outbreak of Metropolism in the area after recent blackouts of electricity, heating and internet coverage have reinforced a blanket desire to live in an area with better infrastructure. There’s a group of people that want to check their email looking for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_RobotZilla_Intro_Message_V3	There’s been an outbreak of Metropolism in the area after local convenience shops brought forward their closing time to 3 p.m. causing widespread panic and a longing for 24 hour chocolate access. A group of snack deprived yokels are mildly hungry and looking for treatment.\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_Robotzilla_Arrival_Advisor	Metropolism patients are arriving…		
Challenges/DLC_1/Patients_Robotzilla_Intro_Message	There’s been an outbreak of Metropolism in the area after Roderick Cushion’s breakout film, the comedic romance hit “Rotting Hill” recently aired on Two Point TV. A group of vicarious popcorn-munchers are looking for treatment\nWe’ll be rewarded if we treat this group, should we have them sent here?		
Challenges/DLC_1/Patients_Robotzilla_Intro_Title	Metropolism Emergency		
Challenges/DLC_1/Patients_Robotzilla_Name	Metropolism Patients		
Challenges/DLC_1/VIP_Bigfoot_Arrival_Advisor	Advocate for the Bigfoot Foundation is arriving at the hospital.		
Challenges/DLC_1/VIP_Bigfoot_Intro_Title	Yeti Visit		
Challenges/DLC_1/VIP_Bigfoot_Name	Bigfoot		
Challenges/DLC_1/VIP_Bigfoot_R6_V1_Intro_Message	Author, and advocate for the Bigfoot Foundation, Bartholomew F. Yeti is curious to know how we’re getting on with supporting the Underlook Hotel. He’s asked if he could come for a visit.\nIf he’s impressed with the hospital it could be good for our reputation, and we might even receive a donation from the Bigfoot Foundation. What do you think?		
Challenges/DLC_1/VIP_Bigfoot_R6_V2_Intro_Message	Author, and advocate for the Bigfoot Foundation, Bartholomew F. Yeti wants to know how we’re getting on in Swelbard. He’s asked if he could come for a visit.\nIf he’s impressed with the hospital it could be good for our reputation, and we might even receive a donation from the Bigfoot Foundation. What do you think?		
Challenges/DLC_1/VIP_Bigfoot_R6_V3_Intro_Message	Author, and advocate for the Bigfoot Foundation, Bartholomew F. Yeti has asked how we’re getting on trying to run a hospital in Roquefort Castle. He’s asked if he could come for a visit.\nIf he’s impressed with the hospital it could be good for our reputation, and we might even receive a donation from the Bigfoot Foundation. What do you think?		
Challenges/DLC_1/VIP_Bigfoot_Reward_Message_1	Bartholomew F. Yeti has sent us a hand-written note to thank us for hosting him recently. He said things like: "It can't be easy", "chin up" and "don't be discouraged". All-in-all it wasn't very encouraging. We'll need to improve the hospital if we want to receive anything other than a list of polite clichés. Imagine what he's told the Bigfoot Foundation...		
Challenges/DLC_1/VIP_Bigfoot_Reward_Message_2	Bartholomew F. Yeti has sent us a hand-written note to thank us for hosting him recently. He said that he's sure everything will turn around soon and that we "shouldn't worry". Sort of makes you worry, doesn't it? We'll need to improve the hospital if we want to receive funding or publicity from the Bigfoot Foundation.		
Challenges/DLC_1/VIP_Bigfoot_Reward_Message_3	Bartholomew F. Yeti has sent us a hand-written note to thank us for hosting him recently. He said that he's sure we're heading in the right direction and will soon be making the Foundation proud. I suppose that means we're not doing that yet, but at least we're not doing badly.		
