ARIAL SDF	Fonts & Materials/ARIAL SDF
Advisor/Tips_Room_AddSub	알고 계십니까 : 시설을 지을 때 오른쪽 마우스 버튼을 클릭하여 건축 도구와 필수 항목 사이를 순환합니다.
Advisor/Tips_Room_Copy	알고 계십니까 : 시설을 클릭하고 '복사'옵션을 선택하여 시설과 모든 콘텐츠의 사본을 만들 수 있습니다.
Advisor/Tips_Room_Customisation	알고 계십니까 : 시설을 클릭하고 시설 정보 패널에서 '사용자 지정'옵션을 선택하여 시설의 벽과 바닥을 사용자 지정할 수 있습니다.
Advisor/Tips_Room_Edit	알고 계십니까 : 시설의 바닥을 클릭하여 시설을 편집 한 다음 편집 단추를 선택하십시오. 이것은 일시적으로 시설을 닫습니다.
Advisor/Tips_Room_MoveRotate	알고 계십니까 : 시설을 지을 때 시설의 바닥을 클릭하여 선택할 수 있습니다. 그런 다음 항목처럼 이동, 회전 및 배치할 수 있습니다.
Advisor/Tips_StaffList	알고 계십니까 : 캐릭터 탭에서 모든 직원의 목록을 볼 수 있습니다. 직원 목록을 사용하여 직원을 모니터링하고 급여를 검토하고 업무를 제어합니다.
Advisor/Tips_Staff_BreakPolicy	알고 계십니까 : 개요 화면에서 각 직원 유형에 대한 휴식 정책을 조정할 수 있습니다. 동시에 휴식을 취할 수 있는 각 유형의 직원 수와 휴식 시간을 설정합니다.
Advisor/Tips_Staff_Breaks	알고 계셨습니까? 직원은 이미 휴식을 취하는 직원이 너무 많지 않은 한 에너지가 낮을 때 휴식을 취합니다.
Advisor/Tips_Staff_Customisation	알고 계 셨나요? 직원 정보 패널에서 직원의 복장을 선택하고 '직원 맞춤 설정'버튼을 클릭하여 맞춤 설정할 수 있습니다.
Advisor/Tips_Staff_PickUp	알고 계 셨나요? 직원 위에 마우스를 올려 놓고 왼쪽 마우스 버튼을 길게 눌러 직원을 선택할 수 있습니다. 또는 클릭 앤 드래그하여 빠르게 선택하세요.
Advisor/Tips_UGC_Create	알고 계십니까 : 항목 목록 및 시설 사용자 지정 메뉴에서 작업장 버튼을 클릭하여 자신의 사진, 깔개, 벽 및 바닥을 디자인할 수 있습니다.
Advisor/Tips_UpgradeMachines	알고 계십니까 : 장비을 업그레이드하면 더 효과적입니다. 업그레이드가 잠금 해제되면 시스템을 업그레이드하도록 선택할 수 있습니다. 작업을 수행하려면 기계공학 교육을 받은 관리인이 필요합니다.
Advisor/Tips_VisualisationModes	알고 계셨습니까? 시각화 탭을 사용하여 환경 요인, 행복, 건강, 에너지, 필요, 유지 관리 등에 따라 병원을 볼 수 있습니다.
Advisor/TrainingCourseComplete_CS	교육 과정 완료 : <style="AdvisorHighlight">{[QUALIFICATION]}</style>
Challenges/AlienRevealedInspectorStamp	외계인
Challenges/ArrivingInDays_CS	{0} 일 후 도착… [i2p_Zero] 오늘 도착…[i2p_One]내일 도착…
Challenges/BarbershopQuartet_AdvisorMessage	그들이 여기있다!!!
Challenges/BarbershopQuartet_FailMessage	슬프게도 우리는 이발소 4 중주를 충분히 치료하지 못했습니다.
Challenges/BarbershopQuartet_FailTitle	특별 보고서
Challenges/BarbershopQuartet_NotificationMessage	The Four Freddies라는 지역 이발소 4 중주가 우리의 도움이 필요합니다. 그들은 관대 한 보상을 제공했습니다. 받아들일까요?
Challenges/BarbershopQuartet_NotificationTitle	이발소 4 중주
Challenges/BarbershopQuartet_SuccessMessage	잘하셨습니다. 이발소 4 중주단이 회복의 길에 있습니다. 그들은 우리를 위해 관대 한 기부를했습니다.
Challenges/BarbershopQuartet_SuccessTitle	특별 보고서
Challenges/Budget_AdvisorMessage_CS	보너스 업데이트 : 마지막 평가 기간 동안 <style="AdvisorHighlight">{[PROCESSED]}</style>명의 게스트 중 <style="AdvisorHighlight">{[CURED]}</style>를 치료했습니다. 이제 호텔에서 향후 3 개월 동안 총 운영 비용의 <style="AdvisorHighlight">{[PERCENT]}</style>를 부담하게됩니다.
Challenges/Budget_ObjectiveMenuCureRate_CS	치료율 : {[RATE]}
Challenges/Budget_ObjectiveMenuItem_CS	포함된 운영 비용 : {[PERCENT]}\n다음 평가 기간 시작 : {[MONTH]}
Challenges/CelebrityVisit_AdvisorMessage	Popstar Jasmine Odyssey가 병원에 도착합니다.
Challenges/CelebrityVisit_NotificationMessage	우리는 병원 방문에 관심이있는 지역 유명 인사의 에이전트로부터 연락을 받았습니다. 그녀의 이름은 Jasmine "Jazz"Odyssey입니다. 그녀는 팝스타 나 그런 것입니다. 신은 알고 계십니다. 분명히 아이들은 그녀를 일종의 음악적 신으로 간주합니다. 우리에게 좋은 홍보를할 수 있습니다. 방문을 수락할까요?
Challenges/CelebrityVisit_NotificationTitle	연예인 방문
Challenges/CelebrityVisit_RewardFailMessage	불행히도 Jasmine Odyssey는 병원의 열렬한 팬이 아닌 것 같습니다. 그녀는 신곡 "Hospital Atrocity Exhibition"을 방금 발표했습니다. 전면에 노골적인 가사 스티커 중 하나가 있습니다. 이것은 좋은 징조가 아닙니다.
Challenges/CelebrityVisit_RewardFailTitle	홍보 업데이트
Challenges/CelebrityVisit_RewardPassMessage	우리 병원은 Jasmine Odyssey에 대해 큰 인상을 주지 않은 것 같습니다. 그녀는 ChatFace에 아무것도 게시하지 않았고 Growler에도 아무것도 게시하지 않았습니다. Fumble의 라이브 스트림에서 그녀는 현재 비스킷을보고 있습니다. 다음에 더 열심히해야할 것 같아요.
Challenges/CelebrityVisit_RewardPassTitle	홍보 업데이트
Challenges/CelebrityVisit_RewardSuccessMessage	Jasmine Odyssey는 방금 Bungle에 병원 사진을 게시했습니다 (그게 뭔지 모르겠지만 젊은이들이 좋아하는 것 같습니다). 정문 밖에서 찍은 셀카입니다. 그녀는 그 뚱뚱한 얼굴 중 하나를 하고 비스킷을 들고 있습니다. 좋은 징조라고 생각합니다. 그 사진은 무슨 뜻이든간에 300 Bear Love를 받았습니다. 그녀는 방문을 즐겼을 것입니다. 모두 잘했습니다.
Challenges/CelebrityVisit_RewardSuccessTitle	홍보 업데이트
Challenges/CelebrityVisit_RewardSuperbMessage	좋은 소식. Jasmine Odyssey가 방금 "Ultimate Rainbow Hospital Unicorn Jazz Biscuits"라는 새 노래를 발표했습니다. 좋은 징조라고 생각하지만 솔직히 가사는 횡설수설합니다. 그녀는 친절하게도 병원에 약간의 돈을 기부하겠다고 제안했습니다!
Challenges/CelebrityVisit_RewardSuperbTitle	홍보 업데이트
Challenges/CircusIncident_AdvisorMessage	광대들이 도착한다…
Challenges/CircusIncident_NotificationMessage	Two Point Circus는 우리를 잠금 해제하고 모든 광대가 탈출했습니다. 그들은 작은 자전거를 타고 우리 방향으로 향하는 마지막 목격되었습니다. 우리가 광대를 다룰 수 있다면 서커스가 우리에게 보상을 줄 것이라고 확신합니다. 들여 보낼까요?
Challenges/CircusIncident_NotificationTitle	서커스 사건
Challenges/CircusIncident_RewardFailMessage	슬프게도 우리는 광대를 충분히 치료하지 못했습니다.
Challenges/CircusIncident_RewardFailTitle	특별 보고서
Challenges/CircusIncident_RewardPerfectMessage	잘 했어요, 우리는 모든 광대를 치료했습니다. 서커스는 우리를 매우 기쁘게 생각합니다.
Challenges/CircusIncident_RewardSuccessMessage	잘 했어요, 우리는 대부분의 광대를 치료했습니다. 서커스는 매우 기뻐합니다.
Challenges/CircusIncident_RewardSuccessTitle	특별 보고서
Challenges/DLC/VIP_Bigfoot_Name	바르톨로뮤 F. 예티
Challenges/DLC_1/BudgetChallenge_R6_InjuriesHospital_AdvisorMessage	새로운 예산 평가 기간이 시작되었습니다.
Challenges/DLC_1/BudgetChallenge_R6_InjuriesHospital_Name	성능 보너스
Challenges/DLC_1/Earthquake_Avalanche_AdvisorMessage	기상특보 : 지역에 눈사태가 예보되었습니다.
Challenges/DLC_1/Earthquake_Avalanche_Name	눈사태
Challenges/DLC_1/Earthquake_Avalanche_NotificationMessage	경고, 지역에서 눈사태가 감지되었습니다! 장비가 손상될 수 있습니다.
Challenges/DLC_1/Earthquake_Hailstorm_AdvisorMessage	기상특보 : 지역에 우박이 예보되었습니다.
Challenges/DLC_1/Earthquake_Hailstorm_Name	우박
Challenges/DLC_1/Earthquake_Hailstorm_NotificationMessage	경고,이 지역에서 우박이 감지되었습니다! 장비가 손상될 수 있습니다.
Challenges/DLC_1/GhostInvulnerable_AdvisorMessage	초자연현상 경고 : 터커 경의 유령이 병원을 방문/출몰하기로 결정했습니다.
Challenges/DLC_1/GhostInvulnerable_Name	터커 경
Challenges/DLC_1/GhostInvulnerable_NotificationMessage	알아낼 수는 없지만 유령 포획 장비는 이 노인에게 작동하지 않습니다. 그가 너무 많은 문제를 일으키지 않기를 바랄뿐입니다.
Challenges/DLC_1/GhostStorm_AdvisorMessage	초자연현상 경고 : 유령 무리가 병원을 떠돌고 있습니다.
Challenges/DLC_1/GhostStorm_Name	유령 폭풍
Challenges/DLC_1/GhostStorm_NotificationMessage	지역 매체는 이 지역에서 잊혀지지 않는 사람들이 급증할 것이라고 예측했습니다. 영혼은 'Troubled'에서 'Mildly Bothered'까지 다양합니다. 병원에서 더 많은 유령을 찾아야합니다.
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Advisor_Intro	Underlook Hotel의 소유자가 우리에게 최신 목표를 보냈습니다.
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Advisor_Outro_Failure_V1	Underlook Hotel 소유주가 설정 한 목표를 완료하지 못했습니다.
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Advisor_Outro_Success_V1	Underlook Hotel은 목표 달성을 위해 <style="AdvisorHighlight">{[REWARDS]}</style>를 받았습니다.
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Intro	우리는 호텔에서 목표를 설정했습니다. 목표를 달성할 수 있다면 약간의 자금을 받게됩니다.
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Intro_Title	호텔 경영 소식
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Name	호텔 타겟
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Outro_Failure_V1	실패한 대상
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Outro_Success_V1	달성한 목표
Challenges/DLC_1/Objective_R6_InjuriesHospital_Target_Outro_Title	Underlook Hotel의 메시지
Challenges/DLC_1/Patients_BardFlu_Arrival_Advisor	음유 시인 독감 환자들이 도착합니다…
Challenges/DLC_1/Patients_BardFlu_Intro_Message	Two Point TV가 '오래된 연극에 대해 아무것도 아는 척'현상의 위험한 수준으로 이어진 오래된 연극을 무거운 손으로 재구 상한 후이 지역에서 바드 독감이 발생했습니다. 그들의 가족은 캐릭터의 이름을 잘못 발음하고 치료를 위해 보내는 것에 질려 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
Challenges/DLC_1/Patients_BardFlu_Intro_Message_V2	부모가 이번 시즌에 자녀가 시험 공부를 하도록 도왔고 생각보다 오래된 연극에 더 많이 투자 한 후이 지역에서 바드 독감이 발생했습니다. 이제 시험이 끝났으므로 가족들이 치료를 위해 그들을 보내고 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
Challenges/DLC_1/Patients_BardFlu_Intro_Message_V3	지역의 삶의 질에 약간의 오류가 발생하여 재미있는 바지, 연회 및 더럽고 더러운 물로 더 나은, 더 오래된 시간에 대한 지나치게 극적인 갈망으로 이어진 후 Bard Flu가 발생했습니다. 그들의 가족들은 치료를 위해 그들을 보내고 있습니다. 부분적으로는 병원이 없었 음을 상기시키기 위해 그들에게 부분적으로 알려줍니다.\n우리가이 그룹을 치료하면 보상을 받을 것입니다. 환자를 받을까요?
Challenges/DLC_1/Patients_BardFlu_Intro_Title	음유 시인 독감 응급
Challenges/DLC_1/Patients_BardFlu_Name	음유 시인 독감 환자
Challenges/DLC_1/Patients_BarkingMad_Arrival_Advisor	짖는 미친 환자들이 도착합니다…
Challenges/DLC_1/Patients_BarkingMad_Intro_Message	산에서 구조견이 운반 한 비상 식량이 우연히 개 사료로 보충된 후이 지역에서 짖는 매드가 발생했습니다. 구조된 사람들은 소름 끼치고 유쾌하게 놀란 치료를 찾고 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
Challenges/DLC_1/Patients_BarkingMad_Intro_Message_V2	Bungle Music의 "Sleep Easy"재생 목록에서 실수로 "Who 's a good boy?"를 잘못 추가 한 후 지역에서 Barking Mad가 발생했습니다. 당신은 착한 소년이야”, 인기있는 개 교육 가이드, 로데릭 쿠션의 목소리. 세뇌되었지만 잘 교육되고 치료를 원하는 개 사람들이 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
Challenges/DLC_1/Patients_BarkingMad_Intro_Message_V3	일부 지역 주민들이 얼굴로 음식을 먹으면서 칼 부족에 대응 한 후이 지역에서 짖는 매드 (Barking Mad)가 발생했습니다. 냅킨이 필요한 그룹이 치료를 찾고 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
Challenges/DLC_1/Patients_BarkingMad_Intro_Title	짖는 미친 응급
Challenges/DLC_1/Patients_BarkingMad_Name	짖는 미친 환자
Challenges/DLC_1/Patients_Frankenstein_Arrival_Advisor	Monster Mishmash 환자들이 도착합니다…
Challenges/DLC_1/Patients_Frankenstein_Intro_Message	코스튬 파티를 통해 사람들이 평소에 입는 옷을 입는 이유와 결국에는 무엇을 하는지에 대해 의문을 갖게된 후이 지역에서 몬스터 미쉬 마시가 발생했습니다. 신분 위기로 고통받는 파티 참석자들이 치료를 찾고 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
Challenges/DLC_1/Patients_Frankenstein_Intro_Message_V2	다가오는 도발적인 공포 영화의 시험 상영에서 시청자들이 그 끔찍한 생물에 대해 불편한 공감을 느낀 후이 지역에서 Monster Mishmash가 발생했습니다. 모든 것에 대해 조용히 질문하고 치료를 구하는 재미있는 사람들이 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
Challenges/DLC_1/Patients_Frankenstein_Intro_Message_V3	일부 지역 가고일이 화를 내고 지역 사회를 저주 한 후이 지역에서 Monster Mishmash가 발생했습니다. '가고일에 의해 저주 받았다'가 원인이 아닐 수도 있지만, 사람들이 그렇게 말하는 것입니다. 가고일에 대한 편집증 환자가 치료실을 찾고 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
Challenges/DLC_1/Patients_Frankenstein_Intro_Title	몬스터 Mishmash 응급
Challenges/DLC_1/Patients_Frankenstein_Name	몬스터 Mishmash 환자
Challenges/DLC_1/Patients_Knightmare_Arrival_Advisor	Knightmares 환자들이 도착합니다…
Challenges/DLC_1/Patients_Knightmare_Intro_Message	Cellars and Goblins애호가 그룹이 96 시간 동안 플레이 한 후 짜증을 내고 다시 등장하거나 의상을 벗는 것을 거부 한 후이 지역에서 Knightmares가 발생했습니다. 그들의 가족은 이런 일에 질려서 치료를 위해 그들을 보내고 있습니다.\n이 그룹을 치료하면 보상을 받을 수 있습니다. 환자를 받을까요?
